id,category_name,slug,created_at,updated_at,school_id,user_id
124,Nazat's Site,nazats-site,2025-03-03 08:45:59,2025-03-03 08:45:59,2799,
125,Sales & Upselling,sales-and-upselling-1,2025-03-03 20:21:49,2025-03-03 20:21:49,3660,
126,meow,meow,2025-03-04 03:22:30,2025-03-04 03:22:30,2456,
127,Webmaster Tools and SEO,webmaster-tools-and-seo-1,2025-03-04 20:31:16,2025-03-04 20:31:16,3660,
128,Add ons,add-ons-1,2025-03-04 21:05:54,2025-03-04 21:05:54,3660,
129,Custom Scripts & CSS,custom-scripts-and-css-1,2025-03-07 13:08:35,2025-03-07 13:08:35,3660,
130,Notices,notices-1,2025-03-07 13:45:39,2025-03-07 13:45:39,3660,
131,Products on WyzQuests,products-on-wyzquests,2025-03-07 17:56:14,2025-03-07 17:56:14,3660,
132,Feature Updates,feature-updates-1,2025-03-14 14:47:33,2025-03-14 14:47:33,3660,
133,Platform Updates,platform-updates,2025-04-13 11:51:24,2025-04-13 11:51:24,336,
136,Live Training,live-training,2025-04-13 11:52:00,2025-04-13 11:52:00,336,
137,njklkml,njklkml,2025-04-13 12:15:45,2025-04-13 12:15:45,2456,
138,New Lessons,new-lessons,2025-04-14 08:25:56,2025-04-14 08:25:56,336,
141,Notifications,notifications,2025-04-20 18:39:46,2025-04-20 18:39:46,3610,
142,Théorie musicale DÉBUTANT,theorie-musicale-debutant,2025-04-22 01:07:28,2025-04-25 19:21:09,3441,
154,Perimenopause,perimenopause,2025-04-22 19:35:04,2025-04-22 19:35:04,3236,
155,Recipes,recipes,2025-04-22 19:35:24,2025-04-22 19:35:24,3236,
156,Weight Loss,weight-loss,2025-04-22 19:35:38,2025-04-22 19:35:38,3236,
157,Sleep,sleep,2025-04-22 19:35:56,2025-04-22 19:35:56,3236,
158,Movement/Exercise,movementexercise,2025-04-22 19:36:07,2025-04-22 19:36:07,3236,
159,Energy,energy,2025-04-22 19:36:22,2025-04-22 19:36:22,3236,
160,Meals,meals,2025-04-23 09:42:59,2025-04-23 09:42:59,2405,
161,Exercise,exercise,2025-04-23 09:43:04,2025-04-23 09:43:04,2405,
162,Wellbeing,wellbeing,2025-04-23 09:43:09,2025-04-23 09:43:09,2405,
163,Théorie musicale INTERMÉDIAIRE,theorie-musicale-intermediaire,2025-04-25 19:21:20,2025-04-25 19:21:49,3441,
164,Hormone Testing,hormone-testing,2025-04-26 01:10:55,2025-04-26 01:10:55,3236,
165,The Science and Soul of ENTLE®,the-science-and-soul-of-entler,2025-04-27 03:29:07,2025-04-27 22:48:14,3625,
166,Members Only,members-only,2025-04-28 05:22:24,2025-04-28 05:22:24,3625,
168,Test Category,test-category,2025-05-05 06:14:54,2025-05-05 06:14:54,3994,
169,New Lesson update,new-lesson-update,2025-05-05 10:59:09,2025-05-05 10:59:09,3994,
171,Instructions,instructions,2025-05-07 23:50:42,2025-05-07 23:50:42,4509,
172,HANDY PRODCUTS,handy-prodcuts,2025-05-11 05:53:15,2025-05-11 05:53:15,3994,
173,New Updates,new-updates,2025-05-14 07:28:07,2025-05-14 07:28:07,2442,
174,TCS,tcs,2025-05-14 18:37:45,2025-05-14 18:37:45,4541,
175,Ceramics.Page,ceramicspage,2025-05-14 18:38:06,2025-05-14 18:38:06,4541,
176,Sonorité,sonorite,2025-05-21 11:37:46,2025-05-21 11:37:46,3441,
177,Justesse,justesse,2025-05-21 11:37:51,2025-05-21 11:37:51,3441,
178,Posture,posture,2025-05-21 11:37:56,2025-05-21 11:37:56,3441,
181,État d'esprit,etat-desprit,2025-05-21 11:38:13,2025-05-21 11:38:13,3441,
182,Gestion du trac,gestion-du-trac,2025-05-21 11:38:19,2025-05-21 11:38:19,3441,
183,Pratique,pratique,2025-05-21 11:38:42,2025-05-21 11:38:42,3441,
184,Main droite,main-droite,2025-05-21 11:38:55,2025-05-21 11:38:55,3441,
185,Main gauche,main-gauche,2025-05-21 11:39:01,2025-05-21 11:39:01,3441,
187,Website Builder 2.0,website-builder-20,2025-05-22 11:50:31,2025-05-22 11:50:31,,
188,Voeding en Energie ,voeding-en-energie,2025-05-24 12:20:17,2025-05-24 12:20:17,4442,
189,Beweging & Actief leven,beweging-and-actief-leven,2025-05-24 12:20:28,2025-05-24 12:20:28,4442,
190,Slaap & Herstel,slaap-and-herstel,2025-05-24 12:20:37,2025-05-24 12:20:37,4442,
191,Ontspanning & Stressreductie,ontspanning-and-stressreductie,2025-05-24 12:20:49,2025-05-24 12:20:49,4442,
192,Omgaan met Gedachten,omgaan-met-gedachten,2025-05-24 12:24:53,2025-05-24 12:24:53,4442,
193,Emotionele veerkracht,emotionele-veerkracht,2025-05-24 12:25:01,2025-05-24 12:25:01,4442,
194,Zelfdiscipline & Gewoontes,zelfdiscipline-and-gewoontes,2025-05-24 12:25:10,2025-05-24 12:25:10,4442,
195,Reflectie & Zelfinzicht,reflectie-and-zelfinzicht,2025-05-24 12:25:19,2025-05-24 12:25:19,4442,
196,Coaching & Programma's,coaching-and-programmas,2025-05-24 12:25:44,2025-05-24 12:25:44,4442,
